label,message
ham,Can you cover my shift on Saturday? I have a family thing and cannot get out of it
ham,Your prescription is ready to collect from the pharmacy. Open until 8pm weekdays
ham,Really enjoyed the workshop today. Learned so much about machine learning applications
ham,The electricity will be off from 10am to 12pm for scheduled maintenance on your street
ham,Just confirmed our Airbnb for Edinburgh. Four nights from the 14th. So excited!
ham,You left your umbrella in my car. I will drop it off at yours on my way home tonight
ham,The results are posted outside the exam office. You passed everything congratulations!
ham,Can you send me the notes from Thursday's lecture? I had to leave early for a hospital appointment
ham,The project submission portal is now open. Upload your files before 11:59pm on Sunday
ham,Your boiler service is due. Call 01234 567890 to book an appointment at a time that suits
ham,I saved you a seat in the front row for the graduation ceremony. See you there at 10
ham,Quick question: do you know if the library is open on bank holidays? Need to return books
ham,The new coffee machine in the break room is amazing. You have to try the flat white option
ham,Just got home from the hospital everything is fine just a precaution. Will explain later
ham,Your results for the mock exam are now available on the student portal under assessments
ham,Can we push the deadline by two days? The supplier has not delivered the components yet
ham,Brilliant work on the group presentation today. The client was really impressed with our section
ham,Running 5 minutes behind. Just parking now. Order me a coffee if you get there first
ham,The fire drill is Wednesday at 11am. Please use the side staircase not the main lift
ham,Just saw your post about the job. Congratulations! That company has an amazing reputation
ham,Your visa application has been approved. You can collect your passport from the embassy Monday
ham,Do not forget we are meeting grandma for lunch on Sunday. She is really looking forward to it
ham,The bus strike is over so services back to normal from tomorrow morning. Good news!
ham,I have attached the invoice to this message. Please process by end of month. Thanks a lot
ham,Your essay has been marked. Check your email for detailed feedback from your tutor
ham,Thanks for looking after the dog this week. He clearly had a wonderful time with you both!
